timestamp,region,user_id,age,gender,income_level,channel_type,channel_name,channel_id,ad_cost,sales,homepage_visits,branded_searches,conversion_rate,bounce_rate,top_searched_words,search_volume,share_of_voice,brand_awareness,recall_score,social_sentiment,engagement
2024-04-07 00:00:00,West,user_51,37,Other,Low,Online,Google Ads,google_ads_01,350.59004843977385,891.622007932496,2543,395,0.11194642586850445,0.38182764863222834,promo_y,5648,0.10593121298493759,0.5130417783533849,0.4147329067712646,-0.13196126765224947,407
2024-04-07 01:00:00,East,user_63,41,Other,Low,Online,Google Ads,google_ads_01,270.3677013403396,597.6565290185082,7883,716,0.07936878426886777,0.7063940795820094,brand_z,3365,0.01370580873928964,0.6204160333524321,0.7971881780630636,-0.8227991406407655,475
2024-04-07 02:00:00,West,user_96,50,M,Medium,Online,Google Ads,google_ads_01,158.21617006173224,682.3112959530447,1084,480,0.10637633549988303,0.5471130145551395,product_x,2525,0.32726260993575546,0.5609755993875485,0.6952335499633729,-0.5587760945775775,296
2024-04-07 03:00:00,West,user_52,41,F,Low,Online,Google Ads,google_ads_01,407.8285347549396,791.2795262212649,7890,128,0.07087582740452446,0.25673235113535353,product_x,2646,0.4500349689854936,0.8435743812500922,0.26667601108072114,0.19645058812747762,163
2024-04-07 04:00:00,East,user_96,28,F,Medium,Online,Google Ads,google_ads_01,343.94193041417026,503.4577769397667,9931,405,0.04449628465347495,0.3541282413648679,product_x,1013,0.12930632532238664,0.5478744380340812,0.25669840180067593,0.4713262284783797,484
2024-04-07 05:00:00,East,user_4,25,F,Low,Online,Google Ads,google_ads_01,85.4953849757212,96.05108520654946,927,541,0.12467432447438795,0.6782811345617171,promo_y,5599,0.46424692695019026,0.8945106103763187,0.1885560847420576,0.9966950227858993,84
2024-04-07 06:00:00,West,user_94,53,Other,High,Online,Google Ads,google_ads_01,455.90895632445205,541.7354764003622,3631,270,0.12191822305565708,0.25329160164321013,brand_z,3278,0.03953102124188482,0.7959974704215671,0.6942724477312043,0.8662266626871153,71
2024-04-07 07:00:00,Central,user_23,55,M,High,Online,Google Ads,google_ads_01,412.1559352469686,590.9727068406703,7247,814,0.10725750591961973,0.795844839834138,promo_y,4155,0.46787365313470203,0.34595736005013505,0.7879353959995623,0.28513039907038307,54
2024-04-07 08:00:00,West,user_15,57,Other,Low,Online,Google Ads,google_ads_01,475.1509570795024,747.9850794424867,4551,943,0.04810031921219478,0.546602568909782,promo_y,9321,0.18229511674742085,0.8514166502507414,0.33854178549250363,-0.157503893411856,392
2024-04-07 09:00:00,West,user_43,37,Other,Low,Online,Google Ads,google_ads_01,364.2311566522382,437.3429507673826,3976,265,0.09263229336167218,0.5364106041286536,product_x,4814,0.05969620594011609,0.28145647851983324,0.11885046492782153,0.27235472941646544,46
